organism,perc_monthly_min_0,perc_monthly_min_05,median_monthly_min,mean_monthly_min,perc_monthly_min_95,perc_monthly_mean_05,median_monthly_mean,mean_monthly_mean,perc_monthly_mean_95,perc_monthly_max_05,median_monthly_max,mean_monthly_max,perc_monthly_max_95,perc_monthly_max_100,n_records,spp_rank
Palmaria palmata,-1.7999999523162842,5.587923049926758,8.323210716247559,8.18332711327294,10.764317321777343,9.5245201587677,12.006360133488974,11.832853997135741,14.138326327006022,13.359935760498047,16.242849349975586,16.046493680183158,18.484176635742188,29.494997024536133,7599,60
Corallina officinalis,-1.7999999523162842,2.2826476097106934,8.208294868469238,7.960084397517098,10.875770568847656,9.586226344108582,11.88151224454244,11.862402761127237,14.360345204671225,13.49194622039795,16.380155563354492,16.39223112488137,19.09649085998535,28.59811782836914,11090,61
Anurida maritima,3.14207124710083,6.81043815612793,8.534303665161133,8.511895318944624,9.887503623962402,10.054918845494589,12.244201024373373,11.871256062697277,13.18939995765686,13.355751037597656,16.226411819458008,15.741530020471119,17.299951171874998,18.824522018432617,1843,62
Chondrus crispus,-1.7999999523162842,1.6280708312988281,8.280513763427734,7.640181988329811,11.418289184570312,9.098196228345236,11.901192347208658,11.953040970952367,15.102938572565714,13.753948211669922,16.798160552978516,16.83246934268902,19.876140594482422,27.338605880737305,14962,63
Cryptosula pallasiana,1.6280708312988281,3.1399219989776608,7.973406791687012,7.609905376514084,11.651742935180664,10.30856986840566,11.6985502243042,11.95544939193532,13.510549306869507,13.572798728942871,16.311260223388672,16.766805807179733,20.28521728515625,24.612638473510742,837,64
Vertebrata lanosa,2.2586677074432373,6.81043815612793,8.431342124938965,8.680165958819183,11.071235656738281,10.176967342694601,11.773151477177938,11.963074569094008,14.5283149878184,13.355751037597656,15.53345012664795,15.722990287117335,18.695693969726562,21.781757354736328,2875,65
Pterothamnion plumula,1.1427500247955322,1.7358813285827637,8.42796802520752,7.866555553234744,10.86979866027832,9.991697788238525,11.791804174582165,11.969006344620773,14.460228125254313,13.777632713317871,16.571063995361328,16.555884888246883,19.09649085998535,25.059934616088867,1978,66
Cancer borealis,0.7811959385871887,2.2586677074432373,4.2843523025512695,5.181327448052875,7.470636367797852,9.434838136037191,11.397385358810425,11.993079386412985,13.698082240422561,18.239073944091796,19.848583221435547,20.142320670650502,21.362133789062494,29.878332138061523,177,67
Botryllus schlosseri,-0.63702392578125,5.035342216491699,8.362316131591797,8.492783592366864,11.651742935180664,9.887002944946289,12.007695436477661,12.003466514159445,13.588075876235962,13.355751037597656,15.977354049682617,16.097129186519258,19.848583221435547,30.665817260742188,7269,68
Asterias forbesi,2.3439600467681885,3.14207124710083,4.2843523025512695,4.912937377748035,15.802595329284667,9.943372547626495,11.397385358810425,12.067721390913404,23.145391416549682,18.199079513549805,19.848583221435547,20.373045839582172,28.56451072692871,29.924354553222656,105,69
